time,temperature,Altitude (m),longitude,latitude
13/09/2023 12:43:18,15.040 °C,584.754838228226,7.2522992776801,61.6407543066962
13/09/2023 12:43:20,15.035 °C,585.287680029869,7.25229836807989,61.6407683526995
13/09/2023 12:43:22,15.031 °C,585.820521950722,7.25229745847992,61.6407823986992
13/09/2023 12:43:24,15.025 °C,586.09966558218,7.2522885612816,61.6407921161226
13/09/2023 12:43:26,15.021 °C,586.365456521511,7.25227924368301,61.6408016057212
13/09/2023 12:43:28,15.017 °C,586.639069914818,7.2522681599221,61.6408109997392
13/09/2023 12:43:30,15.012 °C,586.922243714333,7.25225491751917,61.6408202769417
13/09/2023 12:43:32,15.006 °C,587.205417633057,7.25224167511624,61.6408295541442
13/09/2023 12:43:34,15.002 °C,587.799502849579,7.25223004999862,61.6408395332001
13/09/2023 12:43:36,14.996 °C,588.409952163696,7.25221850999878,61.6408495491996
13/09/2023 12:43:38,14.991 °C,589.083814382553,7.25221090498053,61.6408597673399
13/09/2023 12:43:40,14.985 °C,589.835181713104,7.25220810938026,61.6408702325425
13/09/2023 12:43:42,14.978 °C,590.586548805237,7.25220531378,61.6408806977415
13/09/2023 12:43:44,14.972 °C,591.081411242485,7.25220935513789,61.6408899750568
13/09/2023 12:43:46,14.966 °C,591.56277346611,7.25221375633737,61.6408991898534
13/09/2023 12:43:48,14.960 °C,591.911210238934,7.25221763536047,61.6409082198006
13/09/2023 12:43:50,14.954 °C,592.097181916237,7.25222087616021,61.6409170238003
13/09/2023 12:43:52,14.949 °C,592.28315359354,7.25222411695995,61.6409258278
13/09/2023 12:43:54,14.943 °C,592.325020253658,7.252227124819,61.6409354313182
13/09/2023 12:43:56,14.939 °C,592.35930249095,7.25223012041988,61.6409450769206
13/09/2023 12:43:58,14.933 °C,592.450287342072,7.25223180364,61.6409550441786
13/09/2023 12:44:00,14.929 °C,592.610575377941,7.25223188283999,61.6409654045783
13/09/2023 12:44:02,14.923 °C,592.770863473415,7.25223196203999,61.6409757649781
13/09/2023 12:44:04,14.918 °C,593.066689014435,7.25223326522018,61.6409860907988
13/09/2023 12:44:06,14.913 °C,593.369647979736,7.25223463282009,61.6409964148006
13/09/2023 12:44:08,14.908 °C,593.882243394852,7.25223539922,61.6410068629993
13/09/2023 12:44:10,14.903 °C,594.6510617733,7.25223543081999,61.641017463
13/09/2023 12:44:12,14.898 °C,595.419880151749,7.25223546242,61.6410280630007
