Time [sec]	Time (UTC)	P [hPa]	T [°C]	Hu [%]	Ws [m/s]	Wd [°]	Ws U [m/s]	Ws V [m/s]	Geopot [m]	Dew [°C]
22        	05:20:06  	955.0  	4.40  	85    	0.5     	006   	0.0       	-0.5      	410       	2.1
23        	05:20:07  	955.0  	4.40  	85    	0.6     	005   	-0.1      	-0.6      	410       	2.1
24        	05:20:08  	955.0  	4.40  	85    	0.6     	005   	-0.1      	-0.6      	410       	2.1
25        	05:20:09  	955.0  	4.40  	85    	0.6     	005   	-0.1      	-0.6      	410       	2.1
26        	05:20:10  	955.0  	4.40  	85    	0.6     	005   	-0.1      	-0.6      	410       	2.1
27        	05:20:11  	955.0  	4.40  	85    	0.6     	005   	-0.1      	-0.6      	410       	2.1
28        	05:20:12  	955.0  	4.40  	85    	0.6     	005   	-0.1      	-0.6      	411       	2.2
29        	05:20:13  	955.0  	4.40  	85    	0.7     	009   	-0.1      	-0.7      	411       	2.2
30        	05:20:14  	955.0  	4.40  	85    	0.7     	009   	-0.1      	-0.7      	411       	2.2
31        	05:20:15  	955.0  	4.40  	85    	0.7     	009   	-0.1      	-0.7      	411       	2.2
32        	05:20:16  	955.0  	4.50  	85    	0.5     	006   	-0.1      	-0.5      	411       	2.2
33        	05:20:17  	955.0  	4.50  	85    	0.4     	008   	-0.1      	-0.4      	411       	2.2
34        	05:20:18  	955.0  	4.50  	85    	0.3     	010   	0.0       	-0.3      	411       	2.2
35        	05:20:19  	955.0  	4.50  	85    	0.3     	011   	-0.1      	-0.3      	411       	2.2
36        	05:20:20  	955.0  	4.50  	85    	0.2     	014   	0.0       	-0.2      	411       	2.2
37        	05:20:21  	955.0  	4.50  	85    	0.2     	018   	-0.1      	-0.2      	411       	2.2
38        	05:20:22  	955.0  	4.50  	85    	0.2     	018   	-0.1      	-0.2      	411       	2.2
39        	05:20:23  	955.0  	4.50  	85    	0.1     	027   	0.0       	-0.1      	411       	2.2
40        	05:20:24  	954.9  	4.50  	85    	0.1     	027   	0.0       	-0.1      	411       	2.3
41        	05:20:25  	954.9  	4.50  	85    	0.1     	027   	0.0       	-0.1      	411       	2.3
42        	05:20:26  	954.9  	4.50  	85    	0.1     	027   	0.0       	-0.1      	411       	2.3
43        	05:20:27  	954.9  	4.50  	85    	0.1     	045   	-0.1      	-0.1      	411       	2.3
44        	05:20:28  	954.9  	4.50  	85    	0.1     	045   	-0.1      	-0.1      	411       	2.3
45        	05:20:29  	954.9  	4.50  	85    	0.1     	045   	-0.1      	-0.1      	411       	2.3
46        	05:20:30  	954.9  	4.50  	85    	0.1     	027   	0.0       	-0.1      	411       	2.3
47        	05:20:31  	954.9  	4.50  	85    	0.1     	045   	-0.1      	-0.1      	411       	2.3
48        	05:20:32  	954.8  	4.50  	85    	0.1     	045   	-0.1      	-0.1      	412       	2.3
49        	05:20:33  	954.8  	4.50  	85    	0.1     	090   	-0.1      	0.0       	412       	2.3
50        	05:20:34  	954.7  	4.50  	85    	0.1     	135   	-0.1      	0.1       	413       	2.3
51        	05:20:35  	954.7  	4.50  	85    	0.1     	135   	-0.1      	0.1       	413       	2.3
52        	05:20:36  	954.6  	4.50  	85    	0.1     	135   	-0.1      	0.1       	414       	2.3
53        	05:20:37  	954.5  	4.60  	85    	0.1     	135   	-0.1      	0.1       	414       	2.3
54        	05:20:38  	954.5  	4.60  	85    	0.1     	135   	-0.1      	0.1       	415       	2.3
55        	05:20:39  	954.4  	4.50  	85    	0.1     	135   	-0.1      	0.1       	416       	2.3
56        	05:20:40  	954.4  	4.50  	85    	0.1     	135   	-0.1      	0.1       	416       	2.3
57        	05:20:41  	954.3  	4.50  	85    	0.1     	135   	-0.1      	0.1       	417       	2.3
58        	05:20:42  	954.3  	4.50  	85    	0.1     	135   	-0.1      	0.1       	417       	2.2
59        	05:20:43  	954.3  	4.50  	85    	0.1     	135   	-0.1      	0.1       	417       	2.2
60        	05:20:44  	954.2  	4.50  	85    	0.1     	135   	-0.1      	0.1       	417       	2.1
61        	05:20:45  	954.2  	4.50  	85    	0.1     	135   	-0.1      	0.1       	417       	2.1
62        	05:20:46  	954.2  	4.50  	85    	0.1     	135   	-0.1      	0.1       	417       	2.1
63        	05:20:47  	954.2  	4.50  	84    	0.1     	135   	-0.1      	0.1       	417       	2.1
64        	05:20:48  	954.2  	4.50  	84    	0.1     	090   	-0.1      	0.0       	417       	2.0
65        	05:20:49  	954.2  	4.50  	84    	0.1     	090   	-0.1      	0.0       	417       	2.0
66        	05:20:50  	954.2  	4.50  	84    	0.1     	090   	-0.1      	0.0       	417       	2.0
67        	05:20:51  	954.2  	4.50  	84    	0.1     	090   	-0.1      	0.0       	417       	2.0
68        	05:20:52  	954.2  	4.50  	84    	0.1     	090   	-0.1      	0.0       	417       	2.0
69        	05:20:53  	954.2  	4.50  	84    	0.1     	090   	-0.1      	0.0       	418       	2.0
70        	05:20:54  	954.2  	4.50  	84    	0.1     	090   	-0.1      	0.0       	418       	2.0
71        	05:20:55  	954.2  	4.50  	84    	0.1     	090   	-0.1      	0.0       	418       	2.0
72        	05:20:56  	954.2  	4.60  	84    	0.0     	360   	0.0       	0.0       	418       	2.1
73        	05:20:57  	954.2  	4.80  	84    	0.0     	360   	0.0       	0.0       	418       	2.3
74        	05:20:58  	954.1  	5.00  	84    	0.0     	360   	0.0       	0.0       	418       	2.5
75        	05:20:59  	954.1  	5.20  	84    	0.0     	360   	0.0       	0.0       	418       	2.6
76        	05:21:00  	954.1  	5.30  	84    	0.0     	360   	0.0       	0.0       	418       	2.8
77        	05:21:01  	954.1  	5.40  	84    	0.0     	360   	0.0       	0.0       	418       	2.8
78        	05:21:02  	954.1  	5.40  	84    	0.1     	270   	0.1       	0.0       	418       	2.8
79        	05:21:03  	954.1  	5.40  	84    	0.1     	270   	0.1       	0.0       	418       	2.8
80        	05:21:04  	954.1  	5.40  	84    	0.1     	270   	0.1       	0.0       	418       	2.8
81        	05:21:05  	954.1  	5.40  	84    	0.1     	270   	0.1       	0.0       	418       	2.8
82        	05:21:06  	954.1  	5.40  	84    	0.1     	270   	0.1       	0.0       	418       	2.9
83        	05:21:07  	954.1  	5.50  	83    	0.1     	270   	0.1       	0.0       	418       	2.9
84        	05:21:08  	954.1  	5.50  	83    	0.1     	270   	0.1       	0.0       	418       	2.9
85        	05:21:09  	954.1  	5.50  	83    	0.1     	270   	0.1       	0.0       	418       	2.9
86        	05:21:10  	954.1  	5.60  	83    	0.1     	270   	0.1       	0.0       	418       	3.0
87        	05:21:11  	954.1  	5.70  	83    	0.1     	270   	0.1       	0.0       	418       	3.1
88        	05:21:12  	954.1  	5.70  	83    	0.1     	270   	0.1       	0.0       	418       	3.1
89        	05:21:13  	954.1  	5.60  	83    	0.1     	270   	0.1       	0.0       	418       	3.0
90        	05:21:14  	954.1  	5.50  	83    	0.1     	270   	0.1       	0.0       	418       	2.9
91        	05:21:15  	954.1  	5.60  	83    	0.1     	270   	0.1       	0.0       	418       	2.9
92        	05:21:16  	954.1  	5.70  	83    	0.1     	270   	0.1       	0.0       	418       	3.1
93        	05:21:17  	954.1  	5.90  	83    	0.1     	270   	0.1       	0.0       	418       	3.2
94        	05:21:18  	954.2  	6.00  	83    	0.1     	270   	0.1       	0.0       	418       	3.4
95        	05:21:19  	954.2  	6.10  	83    	0.1     	270   	0.1       	0.0       	418       	3.4
96        	05:21:20  	954.2  	5.90  	83    	0.1     	270   	0.1       	0.0       	418       	3.3
97        	05:21:21  	954.2  	5.70  	83    	0.1     	270   	0.1       	0.0       	418       	3.1
98        	05:21:22  	954.2  	5.70  	83    	0.0     	360   	0.0       	0.0       	418       	3.1
99        	05:21:23  	954.2  	5.80  	83    	0.0     	360   	0.0       	0.0       	418       	3.2
100       	05:21:24  	954.2  	5.90  	83    	0.0     	360   	0.0       	0.0       	418       	3.2
101       	05:21:25  	954.2  	5.90  	83    	0.0     	360   	0.0       	0.0       	418       	3.3
102       	05:21:26  	954.2  	6.00  	83    	0.0     	360   	0.0       	0.0       	418       	3.3
103       	05:21:27  	954.2  	6.00  	83    	0.0     	360   	0.0       	0.0       	418       	3.3
104       	05:21:28  	954.2  	6.00  	83    	0.0     	360   	0.0       	0.0       	418       	3.3
105       	05:21:29  	954.2  	5.80  	83    	0.0     	360   	0.0       	0.0       	418       	3.1
106       	05:21:30  	954.2  	5.60  	83    	0.0     	360   	0.0       	0.0       	418       	2.9
107       	05:21:31  	954.2  	5.40  	82    	0.0     	360   	0.0       	0.0       	418       	2.7
108       	05:21:32  	954.2  	5.30  	82    	0.0     	360   	0.0       	0.0       	418       	2.5
109       	05:21:33  	954.2  	5.30  	82    	0.0     	360   	0.0       	0.0       	418       	2.5
110       	05:21:34  	954.2  	5.40  	82    	0.0     	360   	0.0       	0.0       	418       	2.6
111       	05:21:35  	954.2  	5.40  	82    	0.0     	360   	0.0       	0.0       	418       	2.7
112       	05:21:36  	954.2  	5.40  	82    	0.0     	360   	0.0       	0.0       	418       	2.6
113       	05:21:37  	954.2  	5.30  	82    	0.0     	360   	0.0       	0.0       	418       	2.6
114       	05:21:38  	954.2  	5.30  	83    	0.0     	360   	0.0       	0.0       	418       	2.6
115       	05:21:39  	954.2  	5.30  	83    	0.0     	360   	0.0       	0.0       	418       	2.6
116       	05:21:40  	954.2  	5.40  	83    	0.0     	360   	0.0       	0.0       	418       	2.7
117       	05:21:41  	954.2  	5.30  	83    	0.0     	360   	0.0       	0.0       	418       	2.6
118       	05:21:42  	954.2  	5.30  	83    	0.0     	360   	0.0       	0.0       	418       	2.6
119       	05:21:43  	954.2  	5.30  	83    	0.0     	360   	0.0       	0.0       	418       	2.6
120       	05:21:44  	954.2  	5.40  	83    	0.0     	360   	0.0       	0.0       	418       	2.7
121       	05:21:45  	954.2  	5.90  	83    	0.0     	360   	0.0       	0.0       	418       	3.1
122       	05:21:46  	954.2  	6.20  	82    	0.0     	360   	0.0       	0.0       	418       	3.5
123       	05:21:47  	954.2  	6.40  	82    	0.0     	360   	0.0       	0.0       	418       	3.7
124       	05:21:48  	954.2  	6.00  	82    	0.0     	360   	0.0       	0.0       	418       	3.2
125       	05:21:49  	954.2  	5.80  	82    	0.0     	360   	0.0       	0.0       	418       	3.0
126       	05:21:50  	954.2  	5.60  	82    	0.0     	360   	0.0       	0.0       	418       	2.8
127       	05:21:51  	954.2  	5.50  	82    	0.0     	360   	0.0       	0.0       	418       	2.6
128       	05:21:52  	954.2  	5.30  	82    	0.0     	360   	0.0       	0.0       	418       	2.5
129       	05:21:53  	954.2  	5.30  	81    	0.0     	360   	0.0       	0.0       	418       	2.4
130       	05:21:54  	954.2  	5.30  	81    	0.0     	360   	0.0       	0.0       	418       	2.4
131       	05:21:55  	954.2  	5.30  	81    	0.0     	360   	0.0       	0.0       	418       	2.3
132       	05:21:56  	954.2  	5.30  	81    	0.0     	360   	0.0       	0.0       	418       	2.3
133       	05:21:57  	954.2  	5.40  	81    	0.0     	360   	0.0       	0.0       	418       	2.4
134       	05:21:58  	954.2  	5.50  	81    	0.0     	360   	0.0       	0.0       	418       	2.5
135       	05:21:59  	954.2  	5.60  	81    	0.0     	360   	0.0       	0.0       	418       	2.6
136       	05:22:00  	954.2  	5.70  	81    	0.0     	360   	0.0       	0.0       	418       	2.8
137       	05:22:01  	954.2  	5.90  	81    	0.0     	360   	0.0       	0.0       	418       	2.9
138       	05:22:02  	954.2  	6.00  	81    	0.0     	360   	0.0       	0.0       	418       	3.0
139       	05:22:03  	954.2  	6.10  	81    	0.0     	360   	0.0       	0.0       	418       	3.1
140       	05:22:04  	954.2  	6.20  	81    	0.0     	360   	0.0       	0.0       	418       	3.2
141       	05:22:05  	954.2  	6.30  	81    	0.0     	360   	0.0       	0.0       	418       	3.3
142       	05:22:06  	954.2  	6.30  	81    	0.0     	360   	0.0       	0.0       	418       	3.3
143       	05:22:07  	954.2  	6.10  	81    	0.0     	360   	0.0       	0.0       	418       	3.1
144       	05:22:08  	954.2  	5.80  	81    	0.0     	360   	0.0       	0.0       	418       	2.8
145       	05:22:09  	954.2  	5.50  	81    	0.0     	360   	0.0       	0.0       	418       	2.6
146       	05:22:10  	954.2  	5.50  	81    	0.0     	360   	0.0       	0.0       	418       	2.6
147       	05:22:11  	954.2  	5.60  	81    	0.0     	360   	0.0       	0.0       	418       	2.7
148       	05:22:12  	954.2  	5.60  	81    	0.0     	360   	0.0       	0.0       	418       	2.7
149       	05:22:13  	954.2  	5.50  	81    	0.0     	360   	0.0       	0.0       	418       	2.6
150       	05:22:14  	954.2  	5.40  	81    	0.0     	360   	0.0       	0.0       	418       	2.5
151       	05:22:15  	954.2  	5.40  	81    	0.0     	360   	0.0       	0.0       	418       	2.5
152       	05:22:16  	954.2  	5.40  	81    	0.0     	360   	0.0       	0.0       	418       	2.5
153       	05:22:17  	954.2  	5.50  	82    	0.0     	360   	0.0       	0.0       	418       	2.6
154       	05:22:18  	954.2  	5.60  	82    	0.0     	360   	0.0       	0.0       	418       	2.7
155       	05:22:19  	954.2  	5.60  	82    	0.0     	360   	0.0       	0.0       	418       	2.7
156       	05:22:20  	954.2  	5.70  	82    	0.0     	360   	0.0       	0.0       	418       	2.8
157       	05:22:21  	954.2  	5.80  	82    	0.0     	360   	0.0       	0.0       	418       	2.9
158       	05:22:22  	954.2  	5.70  	82    	0.0     	360   	0.0       	0.0       	418       	2.9
159       	05:22:23  	954.2  	5.70  	82    	0.0     	360   	0.0       	0.0       	418       	2.9
160       	05:22:24  	954.2  	5.70  	82    	0.0     	360   	0.0       	0.0       	418       	2.9
161       	05:22:25  	954.2  	5.80  	82    	0.0     	360   	0.0       	0.0       	418       	2.9
162       	05:22:26  	954.2  	5.80  	82    	0.0     	360   	0.0       	0.0       	418       	3.0
163       	05:22:27  	954.2  	5.80  	82    	0.0     	360   	0.0       	0.0       	418       	3.0
164       	05:22:28  	954.2  	5.60  	82    	0.0     	360   	0.0       	0.0       	418       	2.8
165       	05:22:29  	954.2  	5.40  	82    	0.0     	360   	0.0       	0.0       	418       	2.6
166       	05:22:30  	954.2  	5.30  	82    	0.0     	360   	0.0       	0.0       	418       	2.5
167       	05:22:31  	954.2  	5.50  	82    	0.0     	360   	0.0       	0.0       	418       	2.7
168       	05:22:32  	954.2  	5.70  	82    	0.0     	360   	0.0       	0.0       	418       	2.9
169       	05:22:33  	954.2  	5.80  	82    	0.0     	360   	0.0       	0.0       	418       	3.0
170       	05:22:34  	954.2  	5.80  	82    	0.0     	360   	0.0       	0.0       	418       	3.0
171       	05:22:35  	954.2  	5.70  	82    	0.0     	360   	0.0       	0.0       	418       	3.0
172       	05:22:36  	954.2  	5.60  	82    	0.0     	360   	0.0       	0.0       	418       	2.9
173       	05:22:37  	954.2  	5.50  	83    	0.0     	360   	0.0       	0.0       	418       	2.8
174       	05:22:38  	954.2  	5.40  	83    	0.0     	360   	0.0       	0.0       	418       	2.8
175       	05:22:39  	954.1  	5.40  	83    	0.0     	360   	0.0       	0.0       	418       	2.7
176       	05:22:40  	954.1  	5.50  	83    	0.0     	360   	0.0       	0.0       	418       	2.8
177       	05:22:41  	954.1  	5.60  	83    	0.0     	360   	0.0       	0.0       	418       	2.9
178       	05:22:42  	954.1  	5.80  	83    	0.0     	360   	0.0       	0.0       	418       	3.1
179       	05:22:43  	954.1  	5.90  	83    	0.0     	360   	0.0       	0.0       	418       	3.3
180       	05:22:44  	954.1  	6.00  	83    	0.0     	360   	0.0       	0.0       	418       	3.4
181       	05:22:45  	954.1  	5.90  	83    	0.0     	360   	0.0       	0.0       	418       	3.3
182       	05:22:46  	954.1  	5.80  	83    	0.0     	360   	0.0       	0.0       	418       	3.3
183       	05:22:47  	954.1  	5.80  	84    	0.0     	360   	0.0       	0.0       	418       	3.2
184       	05:22:48  	954.1  	5.80  	84    	0.0     	360   	0.0       	0.0       	418       	3.2
185       	05:22:49  	954.1  	5.70  	84    	0.0     	360   	0.0       	0.0       	418       	3.2
186       	05:22:50  	954.1  	5.60  	84    	0.0     	360   	0.0       	0.0       	418       	3.1
187       	05:22:51  	954.1  	5.50  	84    	0.0     	360   	0.0       	0.0       	418       	3.0
188       	05:22:52  	954.1  	5.50  	84    	0.0     	360   	0.0       	0.0       	418       	3.0
189       	05:22:53  	954.1  	5.50  	84    	0.0     	360   	0.0       	0.0       	418       	3.0
190       	05:22:54  	954.1  	5.60  	84    	0.0     	360   	0.0       	0.0       	418       	3.1
191       	05:22:55  	954.1  	5.60  	84    	0.0     	360   	0.0       	0.0       	418       	3.1
192       	05:22:56  	954.1  	5.60  	84    	0.0     	360   	0.0       	0.0       	418       	3.1
193       	05:22:57  	954.1  	5.60  	84    	0.0     	360   	0.0       	0.0       	418       	3.1
194       	05:22:58  	954.1  	5.50  	84    	0.0     	360   	0.0       	0.0       	418       	3.0
195       	05:22:59  	954.1  	5.40  	84    	0.0     	360   	0.0       	0.0       	418       	3.0
196       	05:23:00  	954.1  	5.40  	84    	0.0     	360   	0.0       	0.0       	418       	2.9
197       	05:23:01  	954.1  	5.40  	84    	0.0     	360   	0.0       	0.0       	418       	3.0
198       	05:23:02  	954.1  	5.50  	84    	0.0     	360   	0.0       	0.0       	418       	3.0
199       	05:23:03  	954.1  	5.50  	84    	0.0     	360   	0.0       	0.0       	418       	3.0
200       	05:23:04  	954.1  	5.40  	84    	0.0     	360   	0.0       	0.0       	418       	2.9
201       	05:23:05  	954.1  	5.30  	84    	0.0     	360   	0.0       	0.0       	418       	2.8
202       	05:23:06  	954.1  	5.40  	84    	0.0     	360   	0.0       	0.0       	418       	2.8
203       	05:23:07  	954.1  	5.50  	83    	0.0     	360   	0.0       	0.0       	418       	2.9
204       	05:23:08  	954.1  	5.70  	83    	0.0     	360   	0.0       	0.0       	418       	3.1
205       	05:23:09  	954.1  	5.90  	83    	0.0     	360   	0.0       	0.0       	418       	3.3
206       	05:23:10  	954.1  	6.00  	83    	0.0     	360   	0.0       	0.0       	418       	3.3
207       	05:23:11  	954.1  	6.00  	83    	0.0     	360   	0.0       	0.0       	418       	3.3
208       	05:23:12  	954.1  	5.90  	82    	0.0     	360   	0.0       	0.0       	418       	3.1
209       	05:23:13  	954.1  	5.80  	82    	0.0     	360   	0.0       	0.0       	418       	3.0
210       	05:23:14  	954.1  	5.80  	82    	0.0     	360   	0.0       	0.0       	418       	3.0
211       	05:23:15  	954.1  	5.90  	82    	0.0     	360   	0.0       	0.0       	418       	3.0
212       	05:23:16  	954.1  	5.90  	82    	0.0     	360   	0.0       	0.0       	418       	3.0
213       	05:23:17  	954.1  	5.80  	82    	0.0     	360   	0.0       	0.0       	418       	2.9
214       	05:23:18  	954.1  	5.80  	81    	0.0     	360   	0.0       	0.0       	418       	2.8
215       	05:23:19  	954.1  	5.70  	81    	0.0     	360   	0.0       	0.0       	418       	2.7
216       	05:23:20  	954.1  	5.60  	81    	0.0     	360   	0.0       	0.0       	418       	2.7
217       	05:23:21  	954.1  	5.60  	81    	0.0     	360   	0.0       	0.0       	418       	2.6
218       	05:23:22  	954.1  	5.60  	81    	0.0     	360   	0.0       	0.0       	418       	2.6
219       	05:23:23  	954.1  	5.60  	81    	0.0     	360   	0.0       	0.0       	418       	2.6
220       	05:23:24  	954.1  	5.60  	81    	0.0     	360   	0.0       	0.0       	418       	2.6
221       	05:23:25  	954.1  	5.60  	81    	0.0     	360   	0.0       	0.0       	418       	2.6
222       	05:23:26  	954.1  	5.70  	81    	0.0     	360   	0.0       	0.0       	418       	2.6
223       	05:23:27  	954.1  	5.70  	81    	0.0     	360   	0.0       	0.0       	418       	2.7
224       	05:23:28  	954.1  	5.80  	81    	0.0     	360   	0.0       	0.0       	418       	2.8
225       	05:23:29  	954.1  	5.90  	81    	0.0     	360   	0.0       	0.0       	418       	2.9
226       	05:23:30  	954.1  	6.00  	81    	0.0     	360   	0.0       	0.0       	418       	3.0
227       	05:23:31  	954.1  	6.00  	81    	0.0     	360   	0.0       	0.0       	418       	3.0
228       	05:23:32  	954.1  	5.90  	81    	0.0     	360   	0.0       	0.0       	418       	3.0
229       	05:23:33  	954.1  	6.00  	81    	0.0     	360   	0.0       	0.0       	418       	3.0
230       	05:23:34  	954.1  	6.10  	81    	0.0     	360   	0.0       	0.0       	418       	3.1
231       	05:23:35  	954.1  	6.10  	81    	0.0     	360   	0.0       	0.0       	418       	3.2
232       	05:23:36  	954.1  	6.00  	81    	0.0     	360   	0.0       	0.0       	418       	3.0
233       	05:23:37  	954.1  	5.80  	81    	0.0     	360   	0.0       	0.0       	418       	2.8
234       	05:23:38  	954.1  	5.70  	81    	0.0     	360   	0.0       	0.0       	418       	2.7
235       	05:23:39  	954.1  	5.70  	81    	0.0     	360   	0.0       	0.0       	418       	2.7
236       	05:23:40  	954.1  	5.60  	81    	0.1     	180   	0.0       	0.1       	418       	2.7
237       	05:23:41  	954.1  	5.60  	81    	0.1     	180   	0.0       	0.1       	418       	2.6
238       	05:23:42  	954.1  	5.60  	81    	0.1     	180   	0.0       	0.1       	418       	2.6
239       	05:23:43  	954.1  	5.60  	81    	0.1     	180   	0.0       	0.1       	418       	2.7
240       	05:23:44  	954.1  	5.70  	81    	0.1     	180   	0.0       	0.1       	418       	2.7
241       	05:23:45  	954.1  	5.70  	81    	0.1     	180   	0.0       	0.1       	418       	2.7
242       	05:23:46  	954.1  	5.60  	81    	0.1     	180   	0.0       	0.1       	418       	2.6
243       	05:23:47  	954.1  	5.60  	81    	0.1     	180   	0.0       	0.1       	418       	2.6
244       	05:23:48  	954.1  	5.50  	81    	0.1     	180   	0.0       	0.1       	418       	2.5
245       	05:23:49  	954.1  	5.50  	81    	0.1     	180   	0.0       	0.1       	418       	2.6
246       	05:23:50  	954.1  	5.50  	82    	0.1     	180   	0.0       	0.1       	418       	2.6
247       	05:23:51  	954.1  	5.50  	82    	0.1     	180   	0.0       	0.1       	418       	2.6
248       	05:23:52  	954.1  	5.50  	82    	0.1     	180   	0.0       	0.1       	418       	2.7
249       	05:23:53  	954.1  	5.70  	82    	0.1     	180   	0.0       	0.1       	418       	2.8
250       	05:23:54  	954.1  	5.80  	82    	0.1     	180   	0.0       	0.1       	418       	3.0
251       	05:23:55  	954.1  	6.00  	82    	0.1     	180   	0.0       	0.1       	418       	3.3
252       	05:23:56  	954.1  	6.20  	83    	0.0     	360   	0.0       	0.0       	418       	3.5
253       	05:23:57  	954.1  	6.20  	83    	0.0     	360   	0.0       	0.0       	418       	3.5
254       	05:23:58  	954.1  	6.20  	83    	0.0     	360   	0.0       	0.0       	418       	3.5
255       	05:23:59  	954.1  	6.20  	83    	0.0     	360   	0.0       	0.0       	418       	3.5
256       	05:24:00  	954.1  	6.20  	83    	0.0     	360   	0.0       	0.0       	418       	3.5
257       	05:24:01  	954.1  	6.20  	83    	0.0     	360   	0.0       	0.0       	418       	3.6
258       	05:24:02  	954.1  	6.20  	83    	0.0     	360   	0.0       	0.0       	418       	3.6
259       	05:24:03  	954.1  	6.40  	83    	0.0     	360   	0.0       	0.0       	418       	3.7
260       	05:24:04  	954.1  	6.50  	83    	0.0     	360   	0.0       	0.0       	418       	3.8
261       	05:24:05  	954.1  	6.40  	83    	0.0     	360   	0.0       	0.0       	418       	3.7
262       	05:24:06  	954.1  	6.30  	82    	0.0     	360   	0.0       	0.0       	418       	3.5
263       	05:24:07  	954.1  	6.10  	82    	0.0     	360   	0.0       	0.0       	418       	3.3
264       	05:24:08  	954.1  	6.00  	82    	0.0     	360   	0.0       	0.0       	418       	3.2
265       	05:24:09  	954.1  	5.90  	82    	0.0     	360   	0.0       	0.0       	418       	3.1
266       	05:24:10  	954.1  	5.90  	82    	0.0     	360   	0.0       	0.0       	418       	3.1
267       	05:24:11  	954.1  	6.00  	82    	0.0     	360   	0.0       	0.0       	418       	3.2
268       	05:24:12  	954.1  	6.00  	82    	0.0     	360   	0.0       	0.0       	418       	3.3
269       	05:24:13  	954.1  	6.00  	82    	0.0     	360   	0.0       	0.0       	418       	3.3
270       	05:24:14  	954.1  	6.00  	82    	0.0     	360   	0.0       	0.0       	418       	3.2
271       	05:24:15  	954.1  	6.00  	82    	0.0     	360   	0.0       	0.0       	418       	3.3
272       	05:24:16  	954.1  	6.10  	83    	0.0     	360   	0.0       	0.0       	418       	3.4
273       	05:24:17  	954.1  	6.10  	83    	0.0     	360   	0.0       	0.0       	418       	3.4
274       	05:24:18  	954.1  	6.10  	83    	0.0     	360   	0.0       	0.0       	418       	3.4
275       	05:24:19  	954.1  	6.10  	83    	0.0     	360   	0.0       	0.0       	418       	3.4
276       	05:24:20  	954.1  	6.20  	83    	0.0     	360   	0.0       	0.0       	418       	3.5
277       	05:24:21  	954.1  	6.20  	83    	0.0     	360   	0.0       	0.0       	418       	3.6
278       	05:24:22  	954.1  	6.10  	83    	0.0     	360   	0.0       	0.0       	418       	3.5
279       	05:24:23  	954.1  	6.10  	83    	0.0     	360   	0.0       	0.0       	418       	3.4
280       	05:24:24  	954.1  	6.10  	83    	0.0     	360   	0.0       	0.0       	418       	3.5
281       	05:24:25  	954.1  	6.20  	83    	0.0     	360   	0.0       	0.0       	418       	3.5
282       	05:24:26  	954.1  	6.20  	83    	0.0     	360   	0.0       	0.0       	418       	3.5
283       	05:24:27  	954.1  	6.20  	83    	0.0     	360   	0.0       	0.0       	418       	3.4
284       	05:24:28  	954.1  	6.10  	83    	0.0     	360   	0.0       	0.0       	418       	3.3
285       	05:24:29  	954.1  	5.90  	83    	0.0     	360   	0.0       	0.0       	418       	3.2
286       	05:24:30  	954.1  	5.70  	82    	0.0     	360   	0.0       	0.0       	418       	2.9
